State	QTL	Odds.Ratio	LowerCI	UpperCI	Pvalue
Quiescent	eQTL	0.556157642769407	0.518944665453808	0.596090865287543	4.21094970912515e-62
Repressed	eQTL	0.810073846561881	0.707617369256918	0.925356368184309	0.00162139473105963
Transcribed	eQTL	1.75494829993275	1.61466298814081	1.9067308232759	1.46263794363547e-39
Enhancer	eQTL	1.31730561337088	1.12146984829138	1.54400259662896	0.000745113165383399
Promoter	eQTL	3.06539901767045	2.62516732327209	3.58028922622421	1.14267121036238e-45
Quiescent	caQTL	0.79339260152048	0.76089029159301	0.827428931589164	7.29060332464244e-27
Repressed	caQTL	1.00610768055884	0.928725029948114	1.0886207014046	0.872222804633354
Transcribed	caQTL	1.05626762888989	0.999461620029422	1.11572851679923	0.0504085338338891
Enhancer	caQTL	1.73933093339905	1.61143508203352	1.87557325090614	9.32433450844335e-42
Promoter	caQTL	1.64053462066488	1.4489496291261	1.85195195657683	4.63078455158611e-14
Quiescent	haQTL	0.710536956431126	0.677617225400452	0.745127145492726	6.29055817269839e-45
Repressed	haQTL	0.637840577360386	0.557848508422963	0.726903041104517	1.08990550847897e-12
Transcribed	haQTL	1.08466185742669	1.02384009754053	1.14870446206333	0.0055746309625846
Enhancer	haQTL	2.19039864643964	2.03298349410838	2.3590096887611	7.83987125336203e-87
Promoter	haQTL	1.85078690585929	1.63062246145548	2.0967911527634	2.37271260786885e-20
