value	Type	Tissue1	Tissue2	r2	iPSCORE Tissue
0.0132259443802973	EDev	CVPC	Adipose_Subcutaneous	0.000174925604750718	CVPC
-0.00539070616410824	EDev	iPSC	Adipose_Subcutaneous	2.90597129477546e-05	iPSC
-0.00655450121365637	EDev	PPC	Adipose_Subcutaneous	4.29614861598229e-05	PPC
0.0119326253472081	EDev	CVPC	Adipose_Visceral_Omentum	0.000142387547676833	CVPC
0.0449634170446782	EDev	iPSC	Adipose_Visceral_Omentum	0.00202170887233366	iPSC
0.0166261808173065	EDev	PPC	Adipose_Visceral_Omentum	0.000276429888569771	PPC
0.0154588629637586	EDev	CVPC	Adrenal_Gland	0.000238976444132267	CVPC
-0.0249177067844555	EDev	iPSC	Adrenal_Gland	0.000620892111396101	iPSC
-0.0322284205202805	EDev	PPC	Adrenal_Gland	0.00103867108923204	PPC
0.0238307953188694	EDev	CVPC	Artery_Aorta	0.000567906805529846	CVPC
-0.0188244909519134	EDev	iPSC	Artery_Aorta	0.000354361459598668	iPSC
0.0138165571913235	EDev	PPC	Artery_Aorta	0.000190897252621113	PPC
0.00515830207714632	EDev	CVPC	Artery_Coronary	2.6608080319092e-05	CVPC
0.00818233002966677	EDev	iPSC	Artery_Coronary	6.69505247143867e-05	iPSC
0.0494589149048551	EDev	PPC	Artery_Coronary	0.00244618426356569	PPC
0.0627153408365736	EDev	CVPC	Artery_Tibial	0.00393321397624759	CVPC
-0.00661584155360904	EDev	iPSC	Artery_Tibial	4.376935946246e-05	iPSC
-0.0116602516047264	EDev	PPC	Artery_Tibial	0.000135961467485525	PPC
-0.0264202827665703	EDev	CVPC	Brain_Amygdala	0.000698031341465532	CVPC
0.0135049582220859	EDev	iPSC	Brain_Amygdala	0.000182383896580286	iPSC
0.00666464977906102	EDev	PPC	Brain_Amygdala	4.44175566775381e-05	PPC
0.0319464772363882	EDev	CVPC	Brain_Anterior_cingulate_cortex_BA24	0.00102057740781507	CVPC
0.0435381855141418	EDev	iPSC	Brain_Anterior_cingulate_cortex_BA24	0.00189557359786382	iPSC
0.0450837479574888	EDev	PPC	Brain_Anterior_cingulate_cortex_BA24	0.00203254432989438	PPC
0.00829165787773231	EDev	CVPC	Brain_Caudate_basal_ganglia	6.87515903613603e-05	CVPC
0.0242818673644922	EDev	iPSC	Brain_Caudate_basal_ganglia	0.000589609082706789	iPSC
0.0216600684754996	EDev	PPC	Brain_Caudate_basal_ganglia	0.000469158566363333	PPC
0.0119773019698814	EDev	CVPC	Brain_Cerebellar_Hemisphere	0.000143455762477725	CVPC
0.0382671286397903	EDev	iPSC	Brain_Cerebellar_Hemisphere	0.00146437313433426	iPSC
0.00899795398169071	EDev	PPC	Brain_Cerebellar_Hemisphere	8.09631758566238e-05	PPC
0.0284906234179807	EDev	CVPC	Brain_Cerebellum	0.000811715622745188	CVPC
0.0202996346640056	EDev	iPSC	Brain_Cerebellum	0.000412075167492096	iPSC
0.0283778263166399	EDev	PPC	Brain_Cerebellum	0.000805301026457378	PPC
0.0158640791989416	EDev	CVPC	Brain_Cortex	0.000251669008830291	CVPC
0.033053828968023	EDev	iPSC	Brain_Cortex	0.00109255560944731	iPSC
-0.0162667127708544	EDev	PPC	Brain_Cortex	0.000264605944369477	PPC
0.0458565180789767	EDev	CVPC	Brain_Frontal_Cortex_BA9	0.00210282025032752	CVPC
0.0490636581903678	EDev	iPSC	Brain_Frontal_Cortex_BA9	0.00240724255502125	iPSC
0.031169783937878	EDev	PPC	Brain_Frontal_Cortex_BA9	0.000971555430733995	PPC
0.00179241368128748	EDev	CVPC	Brain_Hippocampus	3.21274680486655e-06	CVPC
0.0769544140670018	EDev	iPSC	Brain_Hippocampus	0.00592198184439557	iPSC
0.0475695176313705	EDev	PPC	Brain_Hippocampus	0.00226285900768127	PPC
0.0504235890640287	EDev	CVPC	Brain_Hypothalamus	0.00254253833409804	CVPC
0.0672053658858856	EDev	iPSC	Brain_Hypothalamus	0.00451656120385576	iPSC
0.0719092511073745	EDev	PPC	Brain_Hypothalamus	0.00517094039482344	PPC
-0.0287886113015784	EDev	CVPC	Brain_Nucleus_accumbens_basal_ganglia	0.000828784140673368	CVPC
0.0637148339032508	EDev	iPSC	Brain_Nucleus_accumbens_basal_ganglia	0.00405958005931884	iPSC
0.00343814052605712	EDev	PPC	Brain_Nucleus_accumbens_basal_ganglia	1.18208102769163e-05	PPC
0.0391562219463456	EDev	CVPC	Brain_Putamen_basal_ganglia	0.00153320971711147	CVPC
0.0521506621656631	EDev	iPSC	Brain_Putamen_basal_ganglia	0.00271969156431713	iPSC
0.0127127634082221	EDev	PPC	Brain_Putamen_basal_ganglia	0.00016161435347343	PPC
-0.0289071995590533	EDev	CVPC	Brain_Spinal_cord_cervical_c-1	0.000835626186346934	CVPC
0.035090981367599	EDev	iPSC	Brain_Spinal_cord_cervical_c-1	0.00123137697334118	iPSC
-0.0133391614891618	EDev	PPC	Brain_Spinal_cord_cervical_c-1	0.000177933229233938	PPC
0.0242642572885571	EDev	CVPC	Brain_Substantia_nigra	0.000588754181765297	CVPC
0.0147425020809558	EDev	iPSC	Brain_Substantia_nigra	0.000217341367606986	iPSC
0.0296984460121936	EDev	PPC	Brain_Substantia_nigra	0.000881997695539178	PPC
0.0006540903714633	EDev	CVPC	Breast_Mammary_Tissue	4.27834214040997e-07	CVPC
