input_uuid	library_uuid
94ee0ab5-f279-44d7-a9c5-dfdc09e66036	2a1177b5-e657-4260-9af2-b5b2cae8f51c
94ee0ab5-f279-44d7-a9c5-dfdc09e66036	373c7921-9e6e-40ff-93a6-f55f7653e8a8
94ee0ab5-f279-44d7-a9c5-dfdc09e66036	451a2575-fed5-44fc-9eb0-91ccd6aa85d2
94ee0ab5-f279-44d7-a9c5-dfdc09e66036	49f58043-b7fd-48f9-a62d-2ff681acf682
94ee0ab5-f279-44d7-a9c5-dfdc09e66036	559e4b82-9884-4871-a48e-6d0d29f5a662
94ee0ab5-f279-44d7-a9c5-dfdc09e66036	5e22e327-6580-4944-b1ea-16ebe9a3e3d2
94ee0ab5-f279-44d7-a9c5-dfdc09e66036	6770bdc1-880a-4afc-98de-4e9400eba867
94ee0ab5-f279-44d7-a9c5-dfdc09e66036	68cc9c15-04eb-4cde-8cbc-f59bc2c4f05d
94ee0ab5-f279-44d7-a9c5-dfdc09e66036	a03af40d-095e-4a28-a6ec-540b86101481
94ee0ab5-f279-44d7-a9c5-dfdc09e66036	a318fba1-d160-41a0-b006-15f532f80d38
94ee0ab5-f279-44d7-a9c5-dfdc09e66036	af423587-fe94-4309-9087-209e38de5be1
94ee0ab5-f279-44d7-a9c5-dfdc09e66036	af4bd1ba-d52b-42de-9690-bfbd2eaffaec
94ee0ab5-f279-44d7-a9c5-dfdc09e66036	b29a9ba3-27e3-4493-998c-f6fdda077702
94ee0ab5-f279-44d7-a9c5-dfdc09e66036	e2118494-4b47-4783-b293-9746ac751441
94ee0ab5-f279-44d7-a9c5-dfdc09e66036	f1babbb9-f308-490a-9344-af5e644f9fb5
9ac356d4-aed9-4415-ae1c-971101127c02	081baca0-e8a2-4963-90de-db7c9929de69
9ac356d4-aed9-4415-ae1c-971101127c02	0c1810aa-894b-47dd-9749-73f55f54d000
9ac356d4-aed9-4415-ae1c-971101127c02	0e5b990f-26ed-47d1-9afb-3e28b2f4d77b
9ac356d4-aed9-4415-ae1c-971101127c02	17fc64d3-cf0a-4a09-99b7-f9dd59c4f262
9ac356d4-aed9-4415-ae1c-971101127c02	2da5fad9-c905-40d3-b785-ebca3dd571fb
9ac356d4-aed9-4415-ae1c-971101127c02	341aa4b4-6bb8-4f6f-b93d-a805147647b5
9ac356d4-aed9-4415-ae1c-971101127c02	3a0d79b9-10a0-4bcd-aa99-8aaad7ac3c95
9ac356d4-aed9-4415-ae1c-971101127c02	420509db-13a6-40c8-9109-e8aad21cce36
9ac356d4-aed9-4415-ae1c-971101127c02	4a57f9bc-337c-4d5c-ad6c-e345e874a684
9ac356d4-aed9-4415-ae1c-971101127c02	52d2949b-aaae-4bc6-afef-a369527b43cf
9ac356d4-aed9-4415-ae1c-971101127c02	56e28dba-1a23-4d68-9b11-ac0de44947d0
9ac356d4-aed9-4415-ae1c-971101127c02	64f1a88e-ee05-4261-bb27-66cd609fcbd0
9ac356d4-aed9-4415-ae1c-971101127c02	657fb7db-8abe-4ff4-9c6c-2ef206668f26
9ac356d4-aed9-4415-ae1c-971101127c02	6777efb3-3d9a-4f47-af3c-d66ac360e05d
9ac356d4-aed9-4415-ae1c-971101127c02	6e28d56b-6421-49bb-8ff7-26d24a8d55c8
9ac356d4-aed9-4415-ae1c-971101127c02	7218a8a1-934b-4c8d-b905-789956cd2308
9ac356d4-aed9-4415-ae1c-971101127c02	7ab7168e-8a30-4366-8ef6-eec407585135
9ac356d4-aed9-4415-ae1c-971101127c02	8995820b-d56c-4b38-96df-d5a37239357e
9ac356d4-aed9-4415-ae1c-971101127c02	92e90153-4c0c-4795-88dd-585d08b04066
9ac356d4-aed9-4415-ae1c-971101127c02	9727522f-45fb-49a3-a5a4-96442f632997
9ac356d4-aed9-4415-ae1c-971101127c02	a4e103a2-0e0f-4b27-b97c-fbe4a2587665
9ac356d4-aed9-4415-ae1c-971101127c02	a5677d1b-0029-400e-9996-f8557c161d57
9ac356d4-aed9-4415-ae1c-971101127c02	aa567774-b4b2-4962-b8a6-20798ef08cd0
9ac356d4-aed9-4415-ae1c-971101127c02	ba501db0-3c75-41fe-bf48-1ad253447934
